lat,lng,alt,snr
-34.0089,18.6125,1473.4,35.2
-34.009,18.6126,1476.8,35.2
-34.0091,18.6126,1480.1,32.2
-34.0092,18.6126,1484.1,32.2
-34.0093,18.6126,1487.9,24.2
-34.0094,18.6127,1492.2,26.6
-34.0095,18.6127,1496.5,26.6
-34.0097,18.6127,1500.9,33.6
-34.0098,18.6127,1504.4,33.6
-34.0098,18.6127,1508,30.2
-34.0099,18.6128,1511.8,32.2
-34.01,18.6128,1515.5,32.2
-34.0101,18.6128,1519.7,24.2
-34.0102,18.6129,1523.8,31.4
-34.0103,18.6129,1528.8,31.4
-34.0119,18.6134,1597.1,30.6
-34.0119,18.6135,1604.3,34.1
-34.012,18.6135,1612.7,34.1
-34.0121,18.6136,1620.2,33.9
-34.0122,18.6136,1627.5,33.4
-34.0123,18.6137,1633.5,36.5
-34.0125,18.6137,1638.8,36.5
-34.0126,18.6137,1643.8,37
-34.0127,18.6138,1648.3,37
-34.0129,18.6138,1653.4,35.4
-34.013,18.614,1658,35.1
-34.0131,18.614,1662.8,34.2
-34.0132,18.6141,1668.3,35.6
-34.0133,18.6142,1673.5,35.6
-34.0135,18.6143,1678.4,35.6
-34.0136,18.6143,1683.6,38.8
-34.0137,18.6144,1688.9,38.8
-34.0138,18.6144,1694.6,37
-34.0139,18.6145,1699.5,36.9
-34.014,18.6145,1704.7,36.9
-34.0141,18.6146,1709.4,36.1
-34.0142,18.6146,1713.5,36.1
-34.0143,18.6147,1718,35.8
-34.0144,18.6147,1722.9,36.4
-34.0145,18.6148,1727.7,36.4
-34.0146,18.6149,1732.7,35.6
-34.0147,18.615,1736.9,35
-34.0148,18.6151,1741.2,35.7
-34.0149,18.6152,1745.1,35.7
-34.015,18.6152,1749.8,33.7
-34.0151,18.6153,1754.8,34.5
-34.0152,18.6154,1760,35.6
-34.0153,18.6155,1765.6,35.6
-34.0154,18.6156,1771.3,34
-34.0155,18.6156,1776.8,34
-34.0156,18.6157,1781.1,34.3
-34.0157,18.6158,1785.1,34.3
-34.0158,18.6159,1789.6,34.8
-34.0159,18.6159,1793.4,34.8
-34.016,18.616,1797.9,32
-34.0161,18.6161,1801.9,33.8
-34.0162,18.6162,1806.1,33.8
-34.0163,18.6162,1811.7,34.1
-34.0164,18.6163,1817.5,34.7
-34.0165,18.6164,1823.9,34.7
-34.0166,18.6165,1829.9,33.8
-34.0167,18.6166,1835.5,35.2
-34.0168,18.6166,1841,35.2
-34.0169,18.6167,1846.3,34
-34.017,18.6168,1851.5,34
-34.0171,18.6168,1856.6,35.9
-34.0172,18.6169,1862.2,35.9
-34.0172,18.617,1867.7,35.9
-34.0173,18.617,1873.1,34.6
-34.0174,18.6171,1878.3,35.7
-34.0176,18.6171,1883.4,35.7
-34.0177,18.6172,1888.5,37
-34.0177,18.6173,1893.8,37
-34.0178,18.6174,1898.2,35
-34.0179,18.6174,1903.3,34.7
-34.018,18.6175,1907.7,33.5
-34.0181,18.6176,1911.8,33.3
-34.0182,18.6177,1916.3,31.7
-34.0183,18.6177,1920.9,32.7
-34.0184,18.6178,1925.6,34.6
-34.0185,18.6179,1930.5,35.3
-34.0186,18.618,1935.2,35.9
-34.0187,18.618,1940.7,35.9
-34.0187,18.6181,1947.7,34.7
-34.0188,18.6181,1953.6,32.1
-34.0189,18.6182,1958,34.3
-34.0191,18.6183,1961.3,36
-34.0192,18.6183,1965.9,36.2
-34.0193,18.6184,1971.4,36.7
-34.0194,18.6185,1977.5,36.7
-34.0195,18.6186,1983.3,35.9
-34.0196,18.6187,1988.2,35.7
-34.0197,18.6188,1991.9,35.1
-34.0198,18.6189,1996.4,35.1
-34.0198,18.619,2002,35.1
-34.0199,18.6191,2007.3,34.3
-34.02,18.6192,2012.3,34.9
-34.0201,18.6193,2017.7,35.8
-34.0202,18.6193,2022.9,36.3
-34.0203,18.6193,2027.6,36.3
-34.0204,18.6194,2032.3,36.2
-34.0205,18.6194,2037.4,36.2
-34.0205,18.6195,2042.5,35
-34.0206,18.6196,2049.1,34.9
-34.0207,18.6196,2054.5,36.4
-34.0208,18.6197,2062,36.4
-34.0209,18.6198,2068.5,35.8
-34.021,18.6199,2074.5,32.1
-34.0211,18.62,2080.2,33.7
-34.0212,18.6201,2085.6,35
-34.0213,18.6203,2090.4,35
-34.0214,18.6204,2093.9,35
-34.0216,18.6205,2096.8,35
-34.0217,18.6206,2099.7,35
-34.0218,18.6207,2103.1,30.7
-34.0219,18.6208,2107.5,30.7
-34.022,18.6209,2112.4,29.7
-34.0221,18.621,2117.8,24.9
-34.0222,18.6211,2122.8,33.8
-34.0223,18.6212,2127.5,33.8
-34.0224,18.6213,2132,30.2
-34.0225,18.6214,2136.7,31.5
-34.0226,18.6215,2141.4,31.5
-34.0228,18.6216,2146,31.5
-34.0237,18.6224,2196.3,32.9
-34.0238,18.6224,2200.9,34.4
-34.024,18.6225,2207.1,34.4
-34.0241,18.6226,2213.3,18.3
-34.0243,18.6228,2224.4,27.6
-34.0244,18.6229,2229.1,26.8
-34.0244,18.6229,2233.6,28.1
-34.0246,18.623,2237.5,33.4
-34.0247,18.6231,2241.8,33.4
-34.0248,18.6232,2245.9,31.2
-34.0249,18.6233,2250.5,36.4
-34.025,18.6234,2254.9,36.4
-34.0251,18.6235,2259.6,34.7
-34.0252,18.6236,2264.9,34.7
-34.0254,18.6237,2269.4,33.8
-34.0255,18.6238,2275,33.8
-34.0256,18.6239,2280.6,33.3
-34.0257,18.624,2285,33.2
-34.0258,18.6241,2289.4,33
-34.0259,18.6241,2293.9,32.9
-34.0261,18.6242,2298.2,34
-34.0262,18.6243,2302.4,34.9
-34.0263,18.6244,2307.8,34.9
-34.0264,18.6245,2312.8,34.9
-34.0265,18.6246,2317.9,33.9
-34.0266,18.6246,2323.6,32.4
-34.0267,18.6247,2328.6,32
-34.0268,18.6248,2333.7,33.7
-34.0271,18.6249,2343.1,34
-34.0272,18.625,2347.7,34
-34.0273,18.6251,2352.2,33.1
-34.0275,18.6253,2362.9,31.5
-34.0276,18.6254,2368.6,32.5
-34.0278,18.6255,2374.1,32.7
-34.028,18.6256,2385.9,34
-34.0282,18.6258,2397.3,33.1
-34.0283,18.6259,2403.2,33.1
-34.0285,18.626,2409.2,32.8
-34.0286,18.6261,2415.9,33.3
-34.0289,18.6263,2430.2,34.2
-34.029,18.6264,2436.2,33.3
-34.0292,18.6265,2447.3,33.5
-34.0293,18.6266,2452.9,33.5
-34.0294,18.6267,2457.7,32.1
-34.0295,18.6268,2462.2,32.1
-34.0296,18.6269,2466.1,32.4
-34.0297,18.6271,2470.3,33.6
-34.0299,18.6272,2474.5,35.4
-34.03,18.6273,2478.3,35.4
-34.0301,18.6274,2482.1,35.4
-34.0302,18.6275,2485.9,33.6
-34.0303,18.6276,2489.7,32.3
-34.0305,18.6278,2493.4,32.9
-34.0306,18.6279,2497.4,32.9
-34.0307,18.628,2501,33.4
-34.0309,18.6281,2505,33.4
-34.031,18.6282,2509.4,34.1
-34.0311,18.6283,2514,34.1
-34.0313,18.6285,2525,33.5
-34.0314,18.6286,2529.8,32.6
-34.0315,18.6287,2534.7,33.9
-34.0318,18.629,2544.9,34.4
-34.0319,18.6291,2550.1,34.4
-34.0321,18.6293,2558.5,31.7
-34.0322,18.6294,2562.7,32.7
-34.0323,18.6295,2566.7,32.8
-34.0324,18.6296,2570.9,33.8
-34.0326,18.6297,2575,34.2
-34.0327,18.6299,2578.6,34.2
-34.0328,18.63,2582.7,33.6
-34.0328,18.6301,2586.8,33.6
-34.0329,18.6302,2590.9,32.9
-34.033,18.6303,2595.1,32.9
-34.0331,18.6304,2599.3,32.4
-34.0332,18.6306,2603.4,32.5
-34.0334,18.6307,2608.1,32.5
-34.0335,18.6308,2613.4,33.9
-34.0336,18.6309,2618.6,34.8
-34.0337,18.631,2623.3,34.8
-34.0338,18.6311,2628.1,33.9
-34.0339,18.6312,2632.2,33.9
-34.034,18.6313,2637.1,33.1
-34.0341,18.6315,2641.2,32.3
-34.0342,18.6316,2644.5,33
-34.0343,18.6317,2648.2,33
-34.0344,18.6318,2652.8,31.9
-34.0345,18.6319,2658.1,33.2
-34.0346,18.632,2662.9,33.2
-34.0347,18.6321,2667.1,33.2
-34.0348,18.6323,2671,31.9
-34.0349,18.6324,2674.8,31.9
-34.035,18.6326,2678.9,31.3
-34.035,18.6327,2683.8,31.3
-34.0351,18.6328,2689.2,31.4
-34.0352,18.6329,2695.7,32.3
-34.0353,18.6331,2701.6,33.5
-34.0354,18.6332,2706.9,34
-34.0355,18.6334,2711.4,34
-34.0356,18.6335,2715,32.7
-34.0357,18.6337,2718.5,31.5
-34.0358,18.6338,2722.3,32.4
-34.0359,18.634,2726,32.7
-34.036,18.6341,2729.7,32.9
